"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7925","task 1","chromium","Tue Jul 22 15:04:09 IST 2025","passed","Tue Jul 22 15:04:17 IST 2025","","task.spec.js","",""
"","13998","Demoblaze","chromium","Tue Jul 22 14:37:08 IST 2025","failed","Tue Jul 22 14:37:22 IST 2025","","demotest.spec.js","",""
